  2,  2,       -0.6828409433
  2,  3,       -1.0976765156
  2,  4,       -1.3600175381
  2,  5,       -1.5061386824
  2,  6,       -1.5467269421
  2,  7,       -1.4869569540
  2,  8,       -1.3333382607
  2,  9,       -1.0966739655
  2, 10,       -0.7927017212
  2, 11,       -0.4428415596
  2, 12,       -0.0753425881
  2, 13,        0.2688207030
  2, 14,        0.5216541290
  2, 15,        0.5435054302
  3,  2,       -0.6148402691
  3,  3,       -1.0012884140
  3,  4,       -1.2460312843
  3,  5,       -1.3817346096
  3,  6,       -1.4197356701
  3,  7,       -1.3650789261
  3,  8,       -1.2241688967
  3,  9,       -1.0069478750
  3, 10,       -0.7281337976
  3, 11,       -0.4074330330
  3, 12,       -0.0717547387
  3, 13,        0.2405907661
  3, 14,        0.4635806084
  3, 15,        0.4705038369
  4,  2,       -0.0894288719
  4,  3,       -0.1334936321
  4,  4,       -0.1580084860
  4,  5,       -0.1715378761
  4,  6,       -0.1749073863
  4,  7,       -0.1678858697
  4,  8,       -0.1505055726
  4,  9,       -0.1238229275
  4, 10,       -0.0894016027
  4, 11,       -0.0492561013
  4, 12,       -0.0049139336
  4, 13,        0.0409253053
  4, 14,        0.0814842805
  4, 15,        0.0904616863
  5,  2,        0.6101880074
  5,  3,        1.0381333828
  5,  4,        1.3192439079
  5,  5,        1.4757345915
  5,  6,        1.5207564831
  5,  7,        1.4634723663
  5,  8,        1.3126084805
  5,  9,        1.0798041821
  5, 10,        0.7814024687
  5, 11,        0.4406456649
  5, 12,        0.0907818973
  5, 13,       -0.2182599008
  5, 14,       -0.4133419096
  5, 15,       -0.3887895942
  6,  2,        1.2289837599
  6,  3,        2.0794000626
  6,  4,        2.6355323792
  6,  5,        2.9448418617
  6,  6,        3.0337293148
  6,  7,        2.9191915989
  6,  8,        2.6182761192
  6,  9,        2.1539137363
  6, 10,        1.5586957932
  6, 11,        0.8783391714
  6, 12,        0.1782971323
  6, 13,       -0.4448562562
  6, 14,       -0.8448299766
  6, 15,       -0.8033989668
  7,  2,        1.5739165545
  7,  3,        2.6609668732
  7,  4,        3.3712687492
  7,  5,        3.7664270401
  7,  6,        3.8799297810
  7,  7,        3.7334413528
  7,  8,        3.3485944271
  7,  9,        2.7547261715
  7, 10,        1.9934874773
  7, 11,        1.1233499050
  7, 12,        0.2276207954
  7, 13,       -0.5703612566
  7, 14,       -1.0841609240
  7, 15,       -1.0325642824
  8,  2,        1.5427439213
  8,  3,        2.6078472137
  8,  4,        3.3037629128
  8,  5,        3.6909065247
  8,  6,        3.8021287918
  8,  7,        3.6585774422
  8,  8,        3.2814521790
  8,  9,        2.6994948387
  8, 10,        1.9535311460
  8, 11,        1.1008390188
  8, 12,        0.2230591327
  8, 13,       -0.5591425300
  8, 14,       -1.0629818439
  8, 15,       -1.0127822161
  9,  2,        1.1366999149
  9,  3,        1.9214541912
  9,  4,        2.4341871738
  9,  5,        2.7194302082
  9,  6,        2.8013775349
  9,  7,        2.6956100464
  9,  8,        2.4177479744
  9,  9,        1.9889665842
  9, 10,        1.4393470287
  9, 11,        0.8110926151
  9, 12,        0.1643480659
  9, 13,       -0.4119741917
  9, 14,       -0.7832297087
  9, 15,       -0.7462558746
 10,  2,        0.4540349543
 10,  3,        0.7676885128
 10,  4,        0.9726443291
 10,  5,        1.0866643190
 10,  6,        1.1194112301
 10,  7,        1.0771467686
 10,  8,        0.9661124945
 10,  9,        0.7947732210
 10, 10,        0.5751439333
 10, 11,        0.3240963817
 10, 12,        0.0656668320
 10, 13,       -0.1645347476
 10, 14,       -0.3127157092
 10, 15,       -0.2977712154
 11,  2,       -0.3358658552
 11,  3,       -0.5668904781
 11,  4,       -0.7176258564
 11,  5,       -0.8015217781
 11,  6,       -0.8256157637
 11,  7,       -0.7944456935
 11,  8,       -0.7125580311
 11,  9,       -0.5861954689
 11, 10,       -0.4242185652
 11, 11,       -0.2390625328
 11, 12,       -0.0483179130
 11, 13,        0.1219393313
 11, 14,        0.2322459817
 11, 15,        0.2219581306
 12,  2,       -1.0322968960
 12,  3,       -1.7421369553
 12,  4,       -2.2052955627
 12,  5,       -2.4629271030
 12,  6,       -2.5369186401
 12,  7,       -2.4410848618
 12,  8,       -2.1894636154
 12,  9,       -1.8011754751
 12, 10,       -1.3034574986
 12, 11,       -0.7343951464
 12, 12,       -0.1482028216
 12, 13,        0.3753036261
 12, 14,        0.7142447829
 12, 15,        0.6826885939
 13,  2,       -1.4475097656
 13,  3,       -2.4394345284
 13,  4,       -3.0857472420
 13,  5,       -3.4452695847
 13,  6,       -3.5483458042
 13,  7,       -3.4142069817
 13,  8,       -3.0622420311
 13,  9,       -2.5191657543
 13, 10,       -1.8229514360
 13, 11,       -1.0268021822
 13, 12,       -0.2059703320
 13, 13,        0.5281229615
 13, 14,        0.9948887229
 13, 15,        0.9544342756
 14,  2,       -1.3967062235
 14,  3,       -2.3360457420
 14,  4,       -2.9419093132
 14,  5,       -3.2768945694
 14,  6,       -3.3710465431
 14,  7,       -3.2419862747
 14,  8,       -2.9071300030
 14,  9,       -2.3909578323
 14, 10,       -1.7285006046
 14, 11,       -0.9686838984
 14, 12,       -0.1807483286
 14, 13,        0.5310090780
 14, 14,        1.0024404526
 14, 15,        0.9679296017
 15,  2,       -0.9323818684
 15,  3,       -1.5470187664
 15,  4,       -1.9423135519
 15,  5,       -2.1610488892
 15,  6,       -2.2223701477
 15,  7,       -2.1370525360
 15,  8,       -1.9162793159
 15,  9,       -1.5759994984
 15, 10,       -1.1392197609
 15, 11,       -0.6377992630
 15, 12,       -0.1166771352
 15, 13,        0.3573741317
 15, 14,        0.6777089834
 15, 15,        0.6656591892
 16,  2,        0.0000000000
 16,  3,        0.0000000000
 16,  4,        0.0000000000
 16,  5,        0.0000000000
 16,  6,        0.0000000000
 16,  7,        0.0000000000
 16,  8,        0.0000000000
 16,  9,        0.0000000000
 16, 10,        0.0000000000
 16, 11,        0.0000000000
 16, 12,        0.0000023861
 16, 13,        0.0000000000
 16, 14,        0.0000026706
 16, 15,        0.0000000000
 17,  2,        0.0000000000
 17,  3,        0.0000000000
 17,  4,        0.0000000000
 17,  5,        0.0000000000
 17,  6,        0.0000000000
 17,  7,        0.0000000000
 17,  8,        0.0000000000
 17,  9,        0.0000000000
 17, 10,        0.0000000000
 17, 11,        0.0000000000
 17, 12,        0.0000000025
 17, 13,        0.0000006598
 17, 14,        0.0000000000
 17, 15,        0.0000000000
